district,transaction_date,sqft,price_aed,project_stage,lat,lng,distance_to_beach_km,drive_time_burj_khalifa_min,amenity_density_1km,has_waterfront_view,developer_tier,floor_level,service_charge_aed,supply_pressure_2y,momentum_3m,momentum_6m,momentum_12m,roi_pct,days_on_market,12_month_appreciation_pct
DUBAI MARITIME CITY,2026-02-28,394.82352,1378080.0,1,25.2496256,55.276165,23.83,14,22,0,1,58,24.4,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
AL FURJAN,2026-02-28,1387.15668,1649480.0,1,25.06,55.2,7.09,42,5,0,3,11,11.7,617,4.5,8.351597072474815,11.659558800904133,8.67,86,6.5
INTERNATIONAL CITY PH 1,2026-02-28,809.991,828193.0,1,25.06,55.2,7.09,42,10,0,3,11,13.2,1810,4.6,8.53718811852981,11.91866010759089,9.05,68,7.3
Madinat Al Mataar,2026-02-28,693.95508,1199000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,21,21.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BUSINESS BAY,2026-02-28,1491.99804,4753000.0,1,25.185,55.265,17.79,4,23,0,1,31,20.0,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
DUBAI HILLS,2026-03-01,1359.38556,3400000.0,1,25.06,55.2,7.09,42,5,0,1,51,18.6,891,2.8,5.196549289539885,7.254836587229238,8.79,54,4.7
TECOM SITE A,2026-02-28,632.4926399999999,2620000.0,1,25.06,55.2,7.09,42,9,0,1,46,28.4,1527,1.4,2.5982746447699423,3.627418293614619,5.74,39,4.2
SOBHA HEARTLAND,2026-03-01,899.22456,1781422.0,1,25.06,55.2,7.09,42,8,0,1,20,17.9,231,3.3,6.124504519814864,8.55034312066303,5.37,75,8.8
Madinat Dubai Almelaheyah,2026-01-08,806.54652,1680000.0,1,25.06,55.2,7.09,42,5,0,1,33,20.1,1314,2.5,4.639776151374898,6.477532667168963,8.06,51,6.7
JUMEIRAH VILLAGE CIRCLE,2026-02-28,715.8059999999999,1290000.0,1,25.065,55.205,7.44,40,7,0,2,28,18.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
DUBAI CREEK HARBOUR,2026-03-01,799.7651999999999,1675000.0,1,25.06,55.2,7.09,42,5,0,1,29,25.7,571,3.7,6.866868704034848,9.586748347410065,6.01,110,9.3
JUMEIRAH VILLAGE CIRCLE,2026-02-28,838.3003199999999,1149000.0,1,25.065,55.205,7.44,40,14,0,3,7,11.4,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
SAMA AL JADAF,2026-02-28,856.1685600000001,1703000.0,1,25.06,55.2,7.09,42,4,0,1,32,27.3,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
JUMEIRAH VILLAGE CIRCLE,2026-02-28,382.76784,864270.0,1,25.065,55.205,7.44,40,13,0,1,20,26.2,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Jabal Ali First,2026-02-28,775.97676,874000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,11,12.8,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
JUMEIRAH LAKES TOWERS,2026-02-28,1107.29268,2618030.0,1,25.06,55.2,7.09,42,13,0,1,22,29.0,637,2.8,5.196549289539885,7.254836587229238,8.84,105,9.3
MAJAN,2026-02-28,1317.83652,1842591.0,1,25.0929388,55.3184835,18.8,30,18,0,3,6,12.7,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
DUBAI STUDIO CITY,2026-02-28,604.61388,690000.0,1,25.0415641,55.2522587,12.73,43,4,0,3,14,10.5,978,3.6,6.6812776579798525,9.327647040723306,5.0,80,3.1
Al Khairan First,2026-01-08,1835.262,4491888.0,1,25.06,55.2,7.09,42,10,0,1,15,23.6,1821,3.6,6.6812776579798525,9.327647040723306,7.89,77,9.3
DUBAI LAND RESIDENCE COMPLEX,2026-02-28,1011.2778,1472586.7,1,25.0853591,55.382978,25.25,41,6,0,3,10,13.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-02-28,1002.2360399999999,1392962.77,1,25.0853591,55.382978,25.25,41,4,0,3,9,14.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI MARITIME CITY,2026-02-28,394.28532,1349270.0,1,25.2496256,55.276165,23.83,14,21,0,1,54,15.5,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
DUBAI INDUSTRIAL CITY,2026-02-28,384.92063999999993,539850.0,1,25.06,55.2,7.09,42,10,0,3,7,10.8,1114,2.0,3.711820921099918,5.18202613373517,8.05,47,7.3
MAJAN,2026-02-28,899.5474799999998,1164240.0,1,25.0929388,55.3184835,18.8,30,17,0,3,5,13.6,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,421.62588,772555.56,1,25.0853591,55.382978,25.25,41,10,0,2,26,18.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,1285.54452,1630111.11,1,25.0853591,55.382978,25.25,41,7,0,3,2,14.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,418.71959999999996,662222.22,1,25.0853591,55.382978,25.25,41,12,0,2,43,28.8,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
MAJAN,2026-02-28,438.7406399999999,649800.0,1,25.0929388,55.3184835,18.8,30,18,0,3,13,10.8,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,814.18896,1241944.45,1,25.0853591,55.382978,25.25,41,9,0,2,38,23.7,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
JUMEIRAH VILLAGE TRIANGLE,2026-01-02,1540.22076,1788750.0,1,25.0498433,55.1907008,6.65,45,6,0,3,3,12.5,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
JUMEIRAH VILLAGE TRIANGLE,2026-01-13,630.9856799999999,1076000.0,1,25.0498433,55.1907008,6.65,45,11,0,2,22,29.7,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,422.16407999999996,743111.12,1,25.0853591,55.382978,25.25,41,13,0,2,39,18.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,416.45915999999994,593333.34,1,25.0853591,55.382978,25.25,41,11,0,3,7,14.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,414.84455999999994,589533.34,1,25.0853591,55.382978,25.25,41,6,0,3,8,15.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,766.0738799999999,1093333.34,1,25.0853591,55.382978,25.25,41,12,0,3,12,13.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,452.19563999999997,766888.9,1,25.0853591,55.382978,25.25,41,7,0,2,52,23.5,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
MAJAN,2026-02-28,1031.08356,1098980.0,1,25.0929388,55.3184835,18.8,30,17,0,3,14,10.9,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
MAJAN,2026-02-28,435.51144,735630.0,1,25.0929388,55.3184835,18.8,30,14,0,2,17,22.3,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
INTERNATIONAL CITY PH 1,2026-02-28,922.3671599999999,587026.0,1,25.06,55.2,7.09,42,12,0,3,1,14.2,1810,4.6,8.53718811852981,11.91866010759089,9.05,68,7.3
INTERNATIONAL CITY PH 1,2026-02-28,1840.32108,988241.0,1,25.06,55.2,7.09,42,8,0,3,3,10.4,1810,4.6,8.53718811852981,11.91866010759089,9.05,68,7.3
MAJAN,2026-03-01,819.6786,1193867.0,1,25.0929388,55.3184835,18.8,30,13,0,3,2,11.8,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
MAJAN,2026-03-01,1333.98252,2081829.0,1,25.0929388,55.3184835,18.8,30,11,0,2,27,16.8,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
JUMEIRAH VILLAGE CIRCLE,2026-03-01,1108.2614399999998,1652487.0,1,25.065,55.205,7.44,40,6,0,3,12,10.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
MAJAN,2026-03-01,883.61676,1110340.0,1,25.0929388,55.3184835,18.8,30,15,0,3,12,12.0,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
MAJAN,2026-03-01,444.76847999999995,668833.0,1,25.0929388,55.3184835,18.8,30,15,0,3,56,14.4,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
JUMEIRAH VILLAGE CIRCLE,2026-03-01,420.76476,686512.0,1,25.065,55.205,7.44,40,10,0,2,59,16.2,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
INTERNATIONAL CITY PH 1,2026-03-01,466.40412,579862.0,1,25.06,55.2,7.09,42,7,0,3,6,14.4,1810,4.6,8.53718811852981,11.91866010759089,9.05,68,7.3
DUBAI SOUTH,2026-03-01,338.31251999999995,612000.0,1,24.9144391,55.1615128,18.41,83,1,0,2,23,15.7,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-03-01,334.32984,612000.0,1,24.9144391,55.1615128,18.41,83,1,0,2,36,19.8,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-03-01,718.06644,999900.0,1,24.9144391,55.1615128,18.41,83,1,0,3,10,13.7,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
INTERNATIONAL CITY PH 1,2026-03-01,1268.6450399999999,1349670.0,1,25.06,55.2,7.09,42,4,0,3,4,12.2,1810,4.6,8.53718811852981,11.91866010759089,9.05,68,7.3
Al Satwa,2026-01-08,1093.51476,2375220.0,1,25.06,55.2,7.09,42,9,0,1,40,28.7,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
JUMEIRAH VILLAGE CIRCLE,2026-03-01,697.3995600000001,1076717.85,1,25.065,55.205,7.44,40,12,0,2,21,26.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
DUBAI SOUTH,2026-03-01,359.62523999999996,659736.0,1,24.9144391,55.1615128,18.41,83,1,0,2,25,24.5,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-03-01,338.31251999999995,643926.0,1,24.9144391,55.1615128,18.41,83,1,0,2,59,22.2,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
JUMEIRAH VILLAGE CIRCLE,2026-03-01,785.2338,988510.0,1,25.065,55.205,7.44,40,14,0,3,3,14.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Jabal Ali First,2026-03-02,1189.422,1595000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,3,10.2,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-03-02,1196.31096,1602000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,13,12.1,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
BUSINESS PARK,2026-03-02,366.19128,1396000.0,1,25.048462,55.2349614,10.84,42,11,0,1,37,22.0,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
BUSINESS PARK,2026-03-02,344.34036,1382000.0,1,25.048462,55.2349614,10.84,42,9,0,1,15,21.4,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
BUSINESS PARK,2026-03-02,405.58752,1370000.0,1,25.048462,55.2349614,10.84,42,5,0,1,24,28.2,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Jabal Ali First,2026-03-02,857.67552,1132000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,1,14.9,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
BUSINESS PARK,2026-03-02,394.60823999999997,1377000.0,1,25.048462,55.2349614,10.84,42,10,0,1,20,17.3,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Jabal Ali First,2026-03-02,1234.52316,1867000.0,1,25.0256607,55.1142032,6.16,62,1,0,2,37,27.7,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-03-02,399.3444,652000.0,1,25.0256607,55.1142032,6.16,62,3,0,2,57,21.2,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Wadi Al Safa 5,2026-03-02,1895.9709599999996,3161000.0,1,25.06,55.2,7.09,42,7,0,2,28,28.7,1645,1.7,3.1550477829349304,4.404722213674894,7.09,42,5.6
BUSINESS PARK,2026-03-02,389.87208,1384000.0,1,25.048462,55.2349614,10.84,42,10,0,1,50,21.5,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Jabal Ali First,2026-03-02,1743.8756399999997,2452000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,11,13.1,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Wadi Al Safa 5,2026-03-02,1883.6999999999998,3158000.0,1,25.06,55.2,7.09,42,11,0,2,47,25.2,1645,1.7,3.1550477829349304,4.404722213674894,7.09,42,5.6
Jabal Ali First,2026-03-02,944.3257199999999,1298000.0,1,25.0256607,55.1142032,6.16,62,3,0,3,1,14.6,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-03-02,858.1060799999999,1110000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,13,12.4,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Al Khairan First,2026-01-08,913.8636,2466888.0,1,25.06,55.2,7.09,42,8,0,1,58,28.2,1821,3.6,6.6812776579798525,9.327647040723306,7.89,77,9.3
JUMEIRAH VILLAGE CIRCLE,2026-03-02,793.1991599999999,1749999.0,1,25.065,55.205,7.44,40,10,0,1,49,18.2,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Jabal Ali First,2026-03-02,1153.3626,1430000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,2,13.9,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
DUBAI WATER CANAL,2026-03-02,1796.18868,4183000.0,1,25.06,55.2,7.09,42,5,0,1,23,25.2,1220,3.2,5.938913473759869,8.291241813976272,9.21,82,11.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,984.7983599999999,1132509.0,1,25.0853591,55.382978,25.25,41,8,0,3,9,13.2,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SPORTS CITY,2026-03-02,427.22315999999995,637421.4,1,25.06,55.2,7.09,42,12,0,3,13,13.4,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
Madinat Dubai Almelaheyah,2026-03-03,1275.96456,3785000.0,1,25.06,55.2,7.09,42,12,0,1,51,23.2,1314,2.5,4.639776151374898,6.477532667168963,8.06,51,6.7
Palm Deira,2026-03-02,1423.0007999999998,2350000.0,1,25.2761408,55.3016752,27.72,22,17,0,2,16,24.6,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
JUMEIRAH VILLAGE TRIANGLE,2026-03-02,648.531,1200000.0,1,25.0498433,55.1907008,6.65,45,11,0,2,18,16.2,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,1257.12756,1633708.0,1,25.0853591,55.382978,25.25,41,7,0,3,3,11.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-04,984.7983599999999,1132509.0,1,25.0853591,55.382978,25.25,41,9,0,3,13,11.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
BUSINESS BAY,2026-03-02,828.7203599999999,2450000.0,1,25.185,55.265,17.79,4,25,0,1,52,16.4,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
JUMEIRAH VILLAGE TRIANGLE,2026-03-02,476.19936,1100000.0,1,25.0498433,55.1907008,6.65,45,9,0,1,21,23.0,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
DUBAI SPORTS CITY,2026-03-02,1191.25188,1545840.0,1,25.06,55.2,7.09,42,5,0,3,5,14.6,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
SILICON OASIS,2026-03-12,1287.6973199999998,3926400.0,1,25.1063647,55.3764714,24.77,35,13,0,1,59,18.8,910,3.2,5.938913473759869,8.291241813976272,8.87,25,9.1
Palm Deira,2026-03-18,870.2693999999999,2785000.0,1,25.2761408,55.3016752,27.72,22,14,0,1,21,22.3,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
MOTOR CITY,2026-03-02,361.02455999999995,814583.69,1,25.06,55.2,7.09,42,11,0,1,52,29.5,1120,2.2,4.08300301320991,5.700228747108688,4.75,31,3.3
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,447.13656,667977.0,1,25.0853591,55.382978,25.25,41,13,0,3,14,12.9,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SPORTS CITY,2026-03-02,1571.9745599999999,2026710.0,1,25.06,55.2,7.09,42,13,0,3,1,11.5,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
Jabal Ali First,2026-03-02,438.31007999999997,655000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,1,12.9,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
JUMEIRAH VILLAGE CIRCLE,2026-01-08,840.02256,991510.0,1,25.065,55.205,7.44,40,12,0,3,4,11.6,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,428.51484,620563.75,1,25.0853591,55.382978,25.25,41,7,0,3,12,13.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Wadi Al Safa 5,2026-03-02,1559.05776,2900000.0,1,25.06,55.2,7.09,42,4,0,2,20,22.1,1645,1.7,3.1550477829349304,4.404722213674894,7.09,42,5.6
DUBAI SPORTS CITY,2026-03-02,947.9854799999998,1304370.0,1,25.06,55.2,7.09,42,11,0,3,9,12.4,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
MOTOR CITY,2026-03-02,361.02455999999995,797788.15,1,25.06,55.2,7.09,42,4,0,1,34,18.6,1120,2.2,4.08300301320991,5.700228747108688,4.75,31,3.3
JUMEIRAH VILLAGE CIRCLE,2026-03-02,839.2690799999999,1160000.0,1,25.065,55.205,7.44,40,11,0,3,7,14.6,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Palm Deira,2026-03-18,1267.24572,4248000.0,1,25.2761408,55.3016752,27.72,22,21,0,1,34,20.9,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Al Yelayiss 1,2026-03-02,2511.56412,5036000.0,1,25.06,55.2,7.09,42,7,0,1,58,29.3,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Ras Al Khor Industrial First,2026-03-02,1257.4504799999997,2892112.0,1,25.06,55.2,7.09,42,8,0,1,56,26.6,1726,4.3,7.980414980364824,11.141356187530615,6.09,54,5.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,689.6494799999999,1025727.15,1,25.0853591,55.382978,25.25,41,7,0,3,6,11.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Al Yelayiss 1,2026-03-02,2507.04324,5034000.0,1,25.06,55.2,7.09,42,7,0,1,18,23.8,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
JUMEIRAH VILLAGE TRIANGLE,2026-01-08,406.12571999999994,866999.0,1,25.0498433,55.1907008,6.65,45,9,0,1,45,18.3,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
Bukadra,2026-03-02,876.9430799999999,2196735.0,1,25.06,55.2,7.09,42,4,0,1,52,26.2,1243,1.9,3.526229875044922,4.922924827048411,6.85,111,12.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,428.9454,660419.0,1,25.0853591,55.382978,25.25,41,13,0,2,30,16.9,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
JUMEIRAH VILLAGE CIRCLE,2026-03-02,806.6541599999999,1160000.0,1,25.065,55.205,7.44,40,13,0,3,5,11.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Bukadra,2026-03-02,868.6548,2097766.0,1,25.06,55.2,7.09,42,9,0,1,53,26.3,1243,1.9,3.526229875044922,4.922924827048411,6.85,111,12.8
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,428.9454,660419.0,1,25.0853591,55.382978,25.25,41,9,0,2,31,21.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Al Yelayiss 1,2026-03-02,2364.95844,3902000.0,1,25.06,55.2,7.09,42,13,0,2,51,18.1,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Al Yelayiss 2,2026-03-02,900.4086,1624888.0,1,25.06,55.2,7.09,42,7,0,2,52,28.7,1205,2.7,5.01095824348489,6.99573528054248,8.57,14,10.3
Dubai Investment Park Second,2026-01-08,492.453,804000.0,1,25.06,55.2,7.09,42,12,0,2,26,18.7,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Madinat Al Mataar,2026-03-02,1071.3409199999999,1450000.0,1,24.9170063,55.1057072,18.11,88,1,0,3,5,12.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,694.70856,1033252.5,1,25.0853591,55.382978,25.25,41,7,0,3,3,13.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SPORTS CITY,2026-03-02,417.96611999999993,788055.0,1,25.06,55.2,7.09,42,12,0,2,42,29.0,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
DUBAI SPORTS CITY,2026-03-02,1264.77,1677690.0,1,25.06,55.2,7.09,42,13,0,3,1,10.7,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
ARJAN,2026-03-02,1552.06116,1612750.0,1,25.0603309,55.2354858,10.56,39,6,0,3,2,12.3,841,2.7,5.01095824348489,6.99573528054248,8.04,24,14.7
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,447.56711999999993,681992.0,1,25.0853591,55.382978,25.25,41,6,0,2,57,28.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Al Satwa,2026-03-02,830.76552,1782350.0,1,25.06,55.2,7.09,42,5,0,1,20,29.7,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
Al Yelayiss 1,2026-03-02,2482.1784,4150000.0,1,25.06,55.2,7.09,42,12,0,2,39,26.4,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
MAJAN,2026-01-08,461.66796,739888.0,1,25.0929388,55.3184835,18.8,30,18,0,2,55,19.8,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
Al Satwa,2026-03-02,824.5223999999998,1782350.0,1,25.06,55.2,7.09,42,7,0,1,29,26.5,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
DUBAI SPORTS CITY,2026-03-02,1242.81144,1619550.0,1,25.06,55.2,7.09,42,9,0,3,4,13.4,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
Bukadra,2026-03-02,845.7274799999999,2008585.0,1,25.06,55.2,7.09,42,8,0,1,34,23.4,1243,1.9,3.526229875044922,4.922924827048411,6.85,111,12.8
Al Yelayiss 1,2026-03-02,1550.0159999999998,2746000.0,1,25.06,55.2,7.09,42,11,0,2,32,26.2,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Al Satwa,2026-03-02,755.95572,1623250.0,1,25.06,55.2,7.09,42,7,0,1,54,28.7,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,694.70856,1043482.65,1,25.0853591,55.382978,25.25,41,11,0,3,41,11.7,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Al Yelayiss 1,2026-03-02,2367.21888,4858000.0,1,25.06,55.2,7.09,42,7,0,1,36,22.5,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
PALM DEIRA,2026-03-02,795.4596,2223257.0,1,25.06,55.2,7.09,42,8,0,1,52,19.5,1407,1.8,3.3406388289899263,4.663823520361653,8.94,61,8.6
DUBAI SPORTS CITY,2026-03-02,947.9854799999998,1295370.0,1,25.06,55.2,7.09,42,5,0,3,1,14.5,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
Al Satwa,2026-03-02,756.1709999999999,1623250.0,1,25.06,55.2,7.09,42,7,0,1,15,21.4,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
DUBAI STUDIO CITY,2026-01-02,137.13335999999998,467025.0,1,25.0415641,55.2522587,12.73,43,12,0,1,53,28.0,978,3.6,6.6812776579798525,9.327647040723306,5.0,80,3.1
Dubai Investment Park Second,2026-01-08,917.2004399999998,1340000.0,1,25.06,55.2,7.09,42,8,0,3,12,10.5,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
ARJAN,2026-03-02,880.8181199999999,1419777.0,1,25.0603309,55.2354858,10.56,39,5,0,2,21,19.2,841,2.7,5.01095824348489,6.99573528054248,8.04,24,14.7
PALM DEIRA,2026-03-02,794.27556,2221283.0,1,25.06,55.2,7.09,42,12,0,1,18,27.4,1407,1.8,3.3406388289899263,4.663823520361653,8.94,61,8.6
PALM DEIRA,2026-03-02,771.9940799999999,2235056.0,1,25.06,55.2,7.09,42,7,0,1,15,18.6,1407,1.8,3.3406388289899263,4.663823520361653,8.94,61,8.6
Al Yelayiss 1,2026-03-02,1550.0159999999998,2663620.0,1,25.06,55.2,7.09,42,11,0,2,24,21.9,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Al Satwa,2026-03-02,755.0946,1623250.0,1,25.06,55.2,7.09,42,5,0,1,17,27.9,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
JADDAF WATERFRONT,2026-03-02,1798.55676,3731828.0,1,25.2268312,55.3380861,26.42,18,16,0,1,51,20.9,1732,4.8,8.908370210639802,12.436862720964408,5.09,41,8.0
DUBAI LAND RESIDENCE COMPLEX,2026-03-02,428.9454,598431.68,1,25.0853591,55.382978,25.25,41,11,0,3,7,13.7,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
BUSINESS BAY,2026-03-02,1164.5571599999998,2945295.0,1,25.185,55.265,17.79,4,29,0,1,55,20.1,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
ARJAN,2026-03-02,852.5088,1444585.92,1,25.0603309,55.2354858,10.56,39,7,0,2,22,17.7,841,2.7,5.01095824348489,6.99573528054248,8.04,24,14.7
BUSINESS BAY,2026-01-08,881.6792399999999,2393999.0,1,25.185,55.265,17.79,4,26,0,1,48,26.9,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
Al Satwa,2026-03-02,758.21616,1623250.0,1,25.06,55.2,7.09,42,5,0,1,42,29.6,1051,1.3,2.412683598714947,3.368316986927861,7.42,73,9.1
Bukadra,2026-03-02,1383.28164,3631084.0,1,25.06,55.2,7.09,42,6,0,1,29,24.2,1243,1.9,3.526229875044922,4.922924827048411,6.85,111,12.8
JUMEIRAH VILLAGE CIRCLE,2026-03-02,345.63203999999996,803000.0,1,25.065,55.205,7.44,40,13,0,1,57,24.9,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
